公司代码,公司简称,公司全称,英文名称,注册地址,A股代码,A股简称,A股上市日期,A股总股本,A股流通股本,地 区,省 份,城 市,所属行业,公司网址
002278,神开股份,上海神开石油化工装备股份有限公司,Shanghai SK Petroleum & Chemical Equipment Corporation Ltd,上海市闵行区浦星公路1769号,2278,神开股份,8/11/2009,"181,613,392","46,000,000",华东,上海,上海市,C7 机械设备,www.shenkai.com
002279,久其软件,北京久其软件股份有限公司,"Beijing Join-Cheer Software Co.,Ltd.",北京市海淀区大慧寺路5号3号楼3层,2279,久其软件,8/11/2009,"61,040,037","15,300,000",华北,北京,北京市,G 信息技术,www.jiuqi.com.cn
002280,新世纪,杭州新世纪信息技术股份有限公司,"HANGZHOU NEW CENTURY INFORMATION TECHNOLOGY CO.,LTD",浙江省杭州市滨江区南环路3766号,2280,新世纪,8/21/2009,"107,000,000","27,000,000",华东,浙江,杭州市,G 信息技术,www.nci.com.cn
002281,光迅科技,武汉光迅科技股份有限公司,"ACCELINK TECHNOLOGIES CO.,LTD.",湖北省武汉市洪山区邮科院路88号,2281,光迅科技,8/21/2009,"160,000,000","40,000,000",华中,湖北,武汉市,G 信息技术,www.accelink.com
002282,博深工具,博深工具股份有限公司,"BOSUN TOOLS Co.,Ltd.",河北省石家庄高新技术产业开发区海河道10号,2282,博深工具,8/21/2009,"173,400,000","43,400,000",华北,河北,石家庄市,C9 其他制造业,www.bosuntools.com
002283,天润曲轴,天润曲轴股份有限公司,"Tianrun Crankshaft Co.,Ltd.",山东省文登市天润路2-13号,2283,天润曲轴,8/21/2009,"240,000,000","60,000,000",华东,山东,威海市,C7 机械设备,www.tianrun.com
002284,亚太股份,浙江亚太机电股份有限公司,"ZHEJIANG ASIA-PACIFIC MECHANICAL & ELECTRONIC CO.,LTD",杭州市萧山区蜀山街道亚太路1399号,2284,亚太股份,8/28/2009,"95,680,000","24,000,000",华东,浙江,杭州市,C7 机械设备,www.apg.cn
002285,世联地产,深圳世联地产顾问股份有限公司,"Shenzhen World Union Properties Consultancy Co.,Ltd",广东省深圳市罗湖区深南东路5047号深圳发展银行大厦13楼,2285,世联地产,8/28/2009,"128,000,000","32,000,000",华南,广东,深圳市,J 房地产业,www.worldunion.com.cn
002286,保龄宝,保龄宝生物股份有限公司,"BAOLINGBAO BIOLOGY CO.,LTD.",山东禹城高新开发区东外环路1号,2286,保龄宝,8/28/2009,"80,000,000","20,000,000",华东,山东,德州市,C0 食品饮料,www.blb-cn.com
002287,奇正藏药,西藏奇正藏药股份有限公司,"Tibet Cheezheng Tibetan Medicine Co.,Ltd",西藏自治区林芝地区八一镇泉州路1号,2287,奇正藏药,8/28/2009,"406,000,000","41,000,000",西南,西藏,林芝地区,C8 医药生物,www.cheezheng.com.cn
002288,超华科技,广东超华科技股份有限公司,"GUANGDONG CHAOHUA TECHNOLOGY CO.,LTD.",广东省梅县雁洋镇松坪村,2288,超华科技,9/3/2009,"85,930,000","22,000,000",华南,广东,梅州市,C5 电子,www.chaohuatech.com
