代码   	名称	涨幅%%	现价	日涨跌	买入价	卖出价	总量	现量	涨速%%	换手%%	今开	昨收	最高	最低	市盈(动)	总金额	
000058	全指价值	1.38	2542.81	34.57	--- 	--- 	19193445	--- 	          0.17	--- 	2513.80	2508.24	2551.35	2486.27	--- 	22490675200	
000059	全R成长	-0.23	2408.08	-5.57	--- 	--- 	49555058	--- 	          0.14	--- 	2417.09	2413.65	2437.52	2359.49	--- 	64764026880	
000060	全R价值	0.69	2442.69	16.83	--- 	--- 	49118032	--- 	          0.17	--- 	2430.36	2425.86	2453.86	2389.93	--- 	58112172032	
000061	沪企债30	0.29	106.46	0.31	--- 	--- 	335593	--- 	--- 	--- 	106.32	106.15	106.59	106.25	--- 	264799072	
000062	上证沪企	1.31	1932.76	24.97	--- 	--- 	6888864	--- 	          0.17	--- 	1913.39	1907.79	1940.42	1889.53	--- 	8025840128	
000063	上证周期	1.46	2375.89	34.25	--- 	--- 	16348159	--- 	          0.15	--- 	2350.29	2341.64	2386.32	2328.58	--- 	21383063552	
000064	非周期	-0.29	2115.98	-6.18	--- 	--- 	16874401	--- 	          0.17	--- 	2125.78	2122.16	2142.70	2071.01	--- 	21203888128	
000065	上证龙头	0.89	2559.64	22.67	--- 	--- 	16177329	--- 	          0.14	--- 	2540.92	2536.97	2570.67	2510.19	--- 	20145856512	
000066	上证商品	0.59	2553.03	14.93	--- 	--- 	7788393	--- 	          0.14	--- 	2546.28	2538.10	2573.02	2507.34	--- 	12344516608	
000067	上证新兴	-2.58	5116.06	-135.39	--- 	--- 	5808042	--- 	          0.11	--- 	5244.05	5251.45	5284.31	5008.41	--- 	9925528576	
000300	沪深300	0.76	2858.23	21.44	--- 	--- 	50209173	--- 	          0.12	--- 	2842.37	2836.79	2872.31	2798.52	--- 	64909189120	
000901	小康指数	0.58	3906.79	22.58	--- 	--- 	19580082	--- 	          0.16	--- 	3886.97	3884.21	3924.68	3823.64	--- 	24081182720	
000902	中证流通	-0.37	3378.98	-12.50	--- 	--- 	130700693	--- 	          0.13	--- 	3393.06	3391.48	3422.15	3308.63	--- 	166013665280	
000903	中证100	1.39	2701.60	36.91	--- 	--- 	26383338	--- 	          0.10	--- 	2672.30	2664.69	2714.06	2647.74	--- 	32886691840	
000904	中证200	-0.46	3507.33	-16.22	--- 	--- 	23825835	--- 	          0.18	--- 	3524.40	3523.55	3555.24	3425.82	--- 	32022497280	
000905	中证500	-1.88	4269.11	-81.65	--- 	--- 	40192159	--- 	          0.14	--- 	4346.70	4350.76	4391.03	4175.67	--- 	48639016960	
000906	中证800	0.05	3101.04	1.50	--- 	--- 	90401331	--- 	          0.13	--- 	3103.22	3099.54	3131.31	3035.71	--- 	113548206080	
